IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.77.103,8880,false,HKG,Asia Pacific,Hong Kong,65 ms,5953 kB/s
47.243.169.63,2082,false,HKG,Asia Pacific,Hong Kong,55 ms,5947 kB/s
47.237.14.220,2086,false,SIN,Asia Pacific,Singapore,223 ms,5944 kB/s
47.236.144.48,8880,false,SIN,Asia Pacific,Singapore,217 ms,5943 kB/s
47.236.104.11,8880,false,SIN,Asia Pacific,Singapore,221 ms,5937 kB/s
8.219.93.5,80,false,SIN,Asia Pacific,Singapore,226 ms,5920 kB/s
8.219.86.200,2052,false,SIN,Asia Pacific,Singapore,218 ms,5912 kB/s
8.219.0.162,80,false,SIN,Asia Pacific,Singapore,224 ms,5899 kB/s
47.236.166.131,2082,false,SIN,Asia Pacific,Singapore,217 ms,5894 kB/s
47.237.86.185,8080,false,SIN,Asia Pacific,Singapore,223 ms,5892 kB/s
47.236.165.25,8080,false,SIN,Asia Pacific,Singapore,215 ms,5882 kB/s
47.236.80.110,8080,false,SIN,Asia Pacific,Singapore,222 ms,5881 kB/s
8.219.210.64,8880,false,SIN,Asia Pacific,Singapore,220 ms,5871 kB/s
8.210.175.109,8080,false,HKG,Asia Pacific,Hong Kong,64 ms,5871 kB/s
47.236.17.193,2086,false,SIN,Asia Pacific,Singapore,220 ms,5871 kB/s
47.236.123.133,8880,false,SIN,Asia Pacific,Singapore,225 ms,5864 kB/s
47.236.93.176,8880,false,SIN,Asia Pacific,Singapore,222 ms,5853 kB/s
47.236.169.164,8880,false,SIN,Asia Pacific,Singapore,229 ms,5853 kB/s
47.236.169.164,2052,false,SIN,Asia Pacific,Singapore,225 ms,5845 kB/s
47.237.82.15,80,false,SIN,Asia Pacific,Singapore,259 ms,5839 kB/s
8.210.175.109,2095,false,HKG,Asia Pacific,Hong Kong,61 ms,5834 kB/s
8.219.170.232,2082,false,SIN,Asia Pacific,Singapore,228 ms,5820 kB/s
47.236.237.90,2082,false,SIN,Asia Pacific,Singapore,210 ms,5790 kB/s
47.236.166.131,8880,false,SIN,Asia Pacific,Singapore,219 ms,5789 kB/s
47.236.168.17,2086,false,SIN,Asia Pacific,Singapore,219 ms,5785 kB/s
8.219.93.5,2086,false,SIN,Asia Pacific,Singapore,236 ms,5746 kB/s
47.236.174.206,8080,false,SIN,Asia Pacific,Singapore,232 ms,5734 kB/s
47.236.144.208,2086,false,SIN,Asia Pacific,Singapore,233 ms,5732 kB/s
8.218.11.90,80,false,HKG,Asia Pacific,Hong Kong,56 ms,5725 kB/s
8.219.229.190,2082,false,SIN,Asia Pacific,Singapore,230 ms,5725 kB/s
8.219.163.195,2095,false,SIN,Asia Pacific,Singapore,227 ms,5724 kB/s
8.219.210.64,2086,false,SIN,Asia Pacific,Singapore,228 ms,5714 kB/s
47.236.5.223,8080,false,SIN,Asia Pacific,Singapore,216 ms,5711 kB/s
47.236.150.13,8880,false,SIN,Asia Pacific,Singapore,250 ms,5701 kB/s
47.236.232.148,2095,false,SIN,Asia Pacific,Singapore,213 ms,5697 kB/s
47.238.6.102,2086,false,HKG,Asia Pacific,Hong Kong,61 ms,5695 kB/s
47.236.169.141,8880,false,SIN,Asia Pacific,Singapore,217 ms,5666 kB/s
47.237.82.15,2082,false,SIN,Asia Pacific,Singapore,225 ms,5662 kB/s
47.236.121.23,2052,false,SIN,Asia Pacific,Singapore,231 ms,5652 kB/s
47.237.92.26,2052,false,SIN,Asia Pacific,Singapore,219 ms,5626 kB/s
47.236.83.239,8080,false,SIN,Asia Pacific,Singapore,242 ms,5622 kB/s
8.218.3.198,2095,false,HKG,Asia Pacific,Hong Kong,60 ms,5620 kB/s
8.219.210.57,2052,false,SIN,Asia Pacific,Singapore,231 ms,5602 kB/s
47.236.9.152,2086,false,SIN,Asia Pacific,Singapore,243 ms,5598 kB/s
47.236.123.133,2095,false,SIN,Asia Pacific,Singapore,227 ms,5592 kB/s
47.236.118.216,80,false,SIN,Asia Pacific,Singapore,227 ms,5587 kB/s
8.219.189.143,2095,false,SIN,Asia Pacific,Singapore,221 ms,5584 kB/s
47.236.170.54,2052,false,SIN,Asia Pacific,Singapore,220 ms,5574 kB/s
47.236.17.193,80,false,SIN,Asia Pacific,Singapore,275 ms,5574 kB/s
47.238.131.39,80,false,HKG,Asia Pacific,Hong Kong,58 ms,5574 kB/s
8.219.189.143,80,false,SIN,Asia Pacific,Singapore,236 ms,5566 kB/s
47.236.145.85,2086,false,SIN,Asia Pacific,Singapore,235 ms,5564 kB/s
47.236.150.13,2086,false,SIN,Asia Pacific,Singapore,231 ms,5559 kB/s
47.236.83.239,2082,false,SIN,Asia Pacific,Singapore,234 ms,5548 kB/s
8.219.163.195,8080,false,SIN,Asia Pacific,Singapore,227 ms,5538 kB/s
47.76.192.24,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,5537 kB/s
8.219.0.162,2082,false,SIN,Asia Pacific,Singapore,227 ms,5536 kB/s
47.236.150.13,8080,false,SIN,Asia Pacific,Singapore,239 ms,5530 kB/s
47.236.117.48,8880,false,SIN,Asia Pacific,Singapore,239 ms,5522 kB/s
8.219.189.143,8880,false,SIN,Asia Pacific,Singapore,220 ms,5520 kB/s
47.236.166.131,8080,false,SIN,Asia Pacific,Singapore,221 ms,5519 kB/s
47.237.81.112,2086,false,SIN,Asia Pacific,Singapore,220 ms,5516 kB/s
47.236.117.48,2052,false,SIN,Asia Pacific,Singapore,228 ms,5515 kB/s
47.236.9.152,2095,false,SIN,Asia Pacific,Singapore,221 ms,5508 kB/s
8.219.189.143,2086,false,SIN,Asia Pacific,Singapore,231 ms,5508 kB/s
8.219.93.5,8880,false,SIN,Asia Pacific,Singapore,221 ms,5508 kB/s
47.236.102.102,2086,false,SIN,Asia Pacific,Singapore,230 ms,5505 kB/s
47.236.169.164,80,false,SIN,Asia Pacific,Singapore,219 ms,5494 kB/s
47.237.8.82,8080,false,SIN,Asia Pacific,Singapore,211 ms,5493 kB/s
47.236.144.208,80,false,SIN,Asia Pacific,Singapore,233 ms,5486 kB/s
8.222.136.247,80,false,SIN,Asia Pacific,Singapore,224 ms,5474 kB/s
47.236.117.48,2095,false,SIN,Asia Pacific,Singapore,222 ms,5474 kB/s
47.236.149.107,80,false,SIN,Asia Pacific,Singapore,251 ms,5471 kB/s
47.236.164.215,2086,false,SIN,Asia Pacific,Singapore,241 ms,5467 kB/s
47.236.144.208,8080,false,SIN,Asia Pacific,Singapore,218 ms,5461 kB/s
47.236.168.17,2095,false,SIN,Asia Pacific,Singapore,220 ms,5453 kB/s
8.219.86.200,8880,false,SIN,Asia Pacific,Singapore,229 ms,5451 kB/s
47.236.254.120,2095,false,SIN,Asia Pacific,Singapore,226 ms,5450 kB/s
47.237.83.20,80,false,SIN,Asia Pacific,Singapore,213 ms,5444 kB/s
47.236.164.215,80,false,SIN,Asia Pacific,Singapore,236 ms,5424 kB/s
47.236.75.113,2095,false,SIN,Asia Pacific,Singapore,253 ms,5416 kB/s
47.236.169.15,80,false,SIN,Asia Pacific,Singapore,224 ms,5411 kB/s
47.237.86.185,80,false,SIN,Asia Pacific,Singapore,219 ms,5407 kB/s
47.236.93.176,2082,false,SIN,Asia Pacific,Singapore,231 ms,5399 kB/s
8.219.229.190,2095,false,SIN,Asia Pacific,Singapore,231 ms,5397 kB/s
47.236.118.216,2052,false,SIN,Asia Pacific,Singapore,224 ms,5390 kB/s
47.236.149.107,2095,false,SIN,Asia Pacific,Singapore,283 ms,5387 kB/s
47.237.125.8,2086,false,SIN,Asia Pacific,Singapore,240 ms,5364 kB/s
8.219.163.195,80,false,SIN,Asia Pacific,Singapore,226 ms,5360 kB/s
47.236.237.90,8080,false,SIN,Asia Pacific,Singapore,227 ms,5343 kB/s
47.236.118.216,8880,false,SIN,Asia Pacific,Singapore,224 ms,5339 kB/s
47.236.121.23,2086,false,SIN,Asia Pacific,Singapore,222 ms,5334 kB/s
47.236.170.225,8080,false,SIN,Asia Pacific,Singapore,217 ms,5333 kB/s
47.236.144.208,8880,false,SIN,Asia Pacific,Singapore,233 ms,5332 kB/s
47.236.102.102,80,false,SIN,Asia Pacific,Singapore,226 ms,5307 kB/s
47.236.83.239,80,false,SIN,Asia Pacific,Singapore,230 ms,5304 kB/s
47.236.121.23,8080,false,SIN,Asia Pacific,Singapore,235 ms,5304 kB/s
47.236.10.100,8080,false,SIN,Asia Pacific,Singapore,244 ms,5302 kB/s
47.236.144.208,2095,false,SIN,Asia Pacific,Singapore,244 ms,5296 kB/s
47.236.172.71,80,false,SIN,Asia Pacific,Singapore,222 ms,5296 kB/s
47.236.170.225,2082,false,SIN,Asia Pacific,Singapore,219 ms,5283 kB/s
8.219.200.145,2095,false,SIN,Asia Pacific,Singapore,219 ms,5276 kB/s
8.218.181.189,2086,false,HKG,Asia Pacific,Hong Kong,58 ms,5275 kB/s
8.219.189.143,2082,false,SIN,Asia Pacific,Singapore,227 ms,5274 kB/s
47.237.14.220,8080,false,SIN,Asia Pacific,Singapore,241 ms,5268 kB/s
47.236.145.85,2095,false,SIN,Asia Pacific,Singapore,218 ms,5268 kB/s
8.222.136.247,8080,false,SIN,Asia Pacific,Singapore,240 ms,5265 kB/s
47.236.149.107,2082,false,SIN,Asia Pacific,Singapore,229 ms,5262 kB/s
47.236.254.120,2052,false,SIN,Asia Pacific,Singapore,221 ms,5254 kB/s
8.219.111.147,2095,false,SIN,Asia Pacific,Singapore,218 ms,5249 kB/s
8.210.245.224,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,5248 kB/s
8.210.207.214,2082,false,HKG,Asia Pacific,Hong Kong,54 ms,5241 kB/s
47.237.8.82,80,false,SIN,Asia Pacific,Singapore,220 ms,5234 kB/s
47.236.254.120,2086,false,SIN,Asia Pacific,Singapore,228 ms,5214 kB/s
47.236.149.107,8080,false,SIN,Asia Pacific,Singapore,237 ms,5200 kB/s
47.236.169.15,2082,false,SIN,Asia Pacific,Singapore,225 ms,5197 kB/s
47.236.97.90,2095,false,SIN,Asia Pacific,Singapore,220 ms,5197 kB/s
47.236.118.216,2095,false,SIN,Asia Pacific,Singapore,227 ms,5193 kB/s
47.236.118.216,8080,false,SIN,Asia Pacific,Singapore,235 ms,5186 kB/s
8.217.149.28,2086,false,HKG,Asia Pacific,Hong Kong,60 ms,5175 kB/s
8.219.170.232,8080,false,SIN,Asia Pacific,Singapore,231 ms,5173 kB/s
8.219.170.232,2095,false,SIN,Asia Pacific,Singapore,229 ms,5170 kB/s
47.237.10.1,8080,false,SIN,Asia Pacific,Singapore,219 ms,5162 kB/s
47.237.86.185,2095,false,SIN,Asia Pacific,Singapore,228 ms,5160 kB/s
47.237.81.112,2095,false,SIN,Asia Pacific,Singapore,221 ms,5156 kB/s
8.219.104.37,2052,false,SIN,Asia Pacific,Singapore,221 ms,5153 kB/s
47.236.130.95,80,false,SIN,Asia Pacific,Singapore,232 ms,5135 kB/s
8.219.111.147,8080,false,SIN,Asia Pacific,Singapore,263 ms,5134 kB/s
47.236.10.100,2086,false,SIN,Asia Pacific,Singapore,223 ms,5126 kB/s
47.236.130.95,2082,false,SIN,Asia Pacific,Singapore,232 ms,5126 kB/s
47.236.164.215,2082,false,SIN,Asia Pacific,Singapore,241 ms,5124 kB/s
47.236.150.13,80,false,SIN,Asia Pacific,Singapore,228 ms,5122 kB/s
47.236.205.188,2086,false,SIN,Asia Pacific,Singapore,228 ms,5122 kB/s
47.237.95.13,80,false,SIN,Asia Pacific,Singapore,234 ms,5120 kB/s
47.236.144.156,2095,false,SIN,Asia Pacific,Singapore,225 ms,5116 kB/s
47.76.227.128,2082,false,HKG,Asia Pacific,Hong Kong,66 ms,5103 kB/s
47.236.144.48,8080,false,SIN,Asia Pacific,Singapore,260 ms,5098 kB/s
47.237.125.8,2052,false,SIN,Asia Pacific,Singapore,215 ms,5098 kB/s
47.237.125.8,2095,false,SIN,Asia Pacific,Singapore,226 ms,5092 kB/s
47.236.237.90,80,false,SIN,Asia Pacific,Singapore,226 ms,5088 kB/s
47.236.171.205,8080,false,SIN,Asia Pacific,Singapore,268 ms,5077 kB/s
47.236.144.48,80,false,SIN,Asia Pacific,Singapore,233 ms,5072 kB/s
47.236.83.239,2086,false,SIN,Asia Pacific,Singapore,228 ms,5068 kB/s
8.219.0.162,8080,false,SIN,Asia Pacific,Singapore,223 ms,5066 kB/s
8.222.136.247,2082,false,SIN,Asia Pacific,Singapore,220 ms,5058 kB/s
47.236.102.102,2095,false,SIN,Asia Pacific,Singapore,220 ms,5055 kB/s
47.236.237.90,2095,false,SIN,Asia Pacific,Singapore,236 ms,5053 kB/s
47.236.130.95,2052,false,SIN,Asia Pacific,Singapore,217 ms,5046 kB/s
8.222.136.247,8880,false,SIN,Asia Pacific,Singapore,214 ms,5036 kB/s
47.236.169.141,2086,false,SIN,Asia Pacific,Singapore,222 ms,5031 kB/s
8.219.210.64,8080,false,SIN,Asia Pacific,Singapore,226 ms,5030 kB/s
47.236.205.188,2052,false,SIN,Asia Pacific,Singapore,229 ms,5030 kB/s
47.236.174.206,2082,false,SIN,Asia Pacific,Singapore,219 ms,5029 kB/s
47.237.83.20,2086,false,SIN,Asia Pacific,Singapore,221 ms,5024 kB/s
47.236.104.11,2082,false,SIN,Asia Pacific,Singapore,232 ms,5024 kB/s
47.236.144.196,2052,false,SIN,Asia Pacific,Singapore,218 ms,5024 kB/s
8.219.163.195,8880,false,SIN,Asia Pacific,Singapore,234 ms,5023 kB/s
8.219.177.205,2086,false,SIN,Asia Pacific,Singapore,213 ms,5017 kB/s
47.76.204.76,2052,false,HKG,Asia Pacific,Hong Kong,59 ms,5015 kB/s
47.236.253.41,2052,false,SIN,Asia Pacific,Singapore,223 ms,5014 kB/s
47.236.87.246,2082,false,SIN,Asia Pacific,Singapore,213 ms,5013 kB/s
8.219.170.232,80,false,SIN,Asia Pacific,Singapore,222 ms,5009 kB/s
47.236.167.231,8880,false,SIN,Asia Pacific,Singapore,221 ms,4998 kB/s
47.236.167.231,80,false,SIN,Asia Pacific,Singapore,223 ms,4996 kB/s
8.218.52.115,8080,false,HKG,Asia Pacific,Hong Kong,67 ms,4971 kB/s
47.237.11.182,8880,false,SIN,Asia Pacific,Singapore,216 ms,4963 kB/s
47.236.254.120,80,false,SIN,Asia Pacific,Singapore,249 ms,4953 kB/s
47.236.172.95,2082,false,SIN,Asia Pacific,Singapore,226 ms,4951 kB/s
47.236.123.133,2086,false,SIN,Asia Pacific,Singapore,223 ms,4947 kB/s
47.236.253.41,8880,false,SIN,Asia Pacific,Singapore,216 ms,4946 kB/s
47.236.169.141,2082,false,SIN,Asia Pacific,Singapore,224 ms,4933 kB/s
8.222.136.247,2095,false,SIN,Asia Pacific,Singapore,282 ms,4932 kB/s
47.236.167.231,2086,false,SIN,Asia Pacific,Singapore,225 ms,4927 kB/s
8.219.86.200,80,false,SIN,Asia Pacific,Singapore,244 ms,4924 kB/s
47.237.82.15,8880,false,SIN,Asia Pacific,Singapore,257 ms,4923 kB/s
47.236.87.246,8080,false,SIN,Asia Pacific,Singapore,222 ms,4917 kB/s
47.236.121.23,2082,false,SIN,Asia Pacific,Singapore,228 ms,4912 kB/s
47.236.169.164,2086,false,SIN,Asia Pacific,Singapore,215 ms,4900 kB/s
47.237.14.220,2082,false,SIN,Asia Pacific,Singapore,230 ms,4896 kB/s
47.236.232.148,2086,false,SIN,Asia Pacific,Singapore,226 ms,4872 kB/s
8.218.3.198,2086,false,HKG,Asia Pacific,Hong Kong,61 ms,4852 kB/s
8.219.210.57,80,false,SIN,Asia Pacific,Singapore,216 ms,4847 kB/s
47.237.14.220,8880,false,SIN,Asia Pacific,Singapore,222 ms,4839 kB/s
47.237.84.173,2086,false,SIN,Asia Pacific,Singapore,214 ms,4837 kB/s
47.237.0.31,8880,false,SIN,Asia Pacific,Singapore,224 ms,4833 kB/s
47.236.169.164,2095,false,SIN,Asia Pacific,Singapore,229 ms,4829 kB/s
47.236.130.95,8880,false,SIN,Asia Pacific,Singapore,254 ms,4819 kB/s
47.237.121.38,2052,false,SIN,Asia Pacific,Singapore,228 ms,4818 kB/s
8.219.229.190,2052,false,SIN,Asia Pacific,Singapore,223 ms,4815 kB/s
47.236.144.48,2052,false,SIN,Asia Pacific,Singapore,228 ms,4809 kB/s
47.236.149.107,8880,false,SIN,Asia Pacific,Singapore,242 ms,4803 kB/s
47.236.102.102,8880,false,SIN,Asia Pacific,Singapore,234 ms,4803 kB/s
47.236.80.110,8880,false,SIN,Asia Pacific,Singapore,247 ms,4802 kB/s
47.236.75.113,2052,false,SIN,Asia Pacific,Singapore,219 ms,4801 kB/s
47.236.172.71,2052,false,SIN,Asia Pacific,Singapore,236 ms,4798 kB/s
47.236.5.223,2086,false,SIN,Asia Pacific,Singapore,224 ms,4796 kB/s
8.222.136.247,2052,false,SIN,Asia Pacific,Singapore,221 ms,4795 kB/s
47.237.94.140,2086,false,SIN,Asia Pacific,Singapore,236 ms,4787 kB/s
47.236.75.152,2052,false,SIN,Asia Pacific,Singapore,218 ms,4781 kB/s
47.237.92.26,2095,false,SIN,Asia Pacific,Singapore,226 ms,4777 kB/s
47.236.169.141,2095,false,SIN,Asia Pacific,Singapore,263 ms,4774 kB/s
47.237.94.140,8080,false,SIN,Asia Pacific,Singapore,223 ms,4770 kB/s
8.219.86.200,2095,false,SIN,Asia Pacific,Singapore,223 ms,4761 kB/s
47.236.145.85,8080,false,SIN,Asia Pacific,Singapore,226 ms,4757 kB/s
8.219.126.240,8080,false,SIN,Asia Pacific,Singapore,231 ms,4756 kB/s
47.236.180.24,2052,false,SIN,Asia Pacific,Singapore,225 ms,4751 kB/s
47.237.121.38,8080,false,SIN,Asia Pacific,Singapore,222 ms,4745 kB/s
47.237.11.182,2086,false,SIN,Asia Pacific,Singapore,235 ms,4743 kB/s
47.236.87.246,2095,false,SIN,Asia Pacific,Singapore,296 ms,4737 kB/s
8.219.229.190,8080,false,SIN,Asia Pacific,Singapore,221 ms,4734 kB/s
47.237.100.206,8080,false,SIN,Asia Pacific,Singapore,214 ms,4721 kB/s
47.236.168.17,80,false,SIN,Asia Pacific,Singapore,226 ms,4721 kB/s
8.219.177.205,2082,false,SIN,Asia Pacific,Singapore,243 ms,4721 kB/s
47.237.95.140,2082,false,SIN,Asia Pacific,Singapore,222 ms,4721 kB/s
47.236.83.239,8880,false,SIN,Asia Pacific,Singapore,222 ms,4710 kB/s
47.236.130.95,8080,false,SIN,Asia Pacific,Singapore,223 ms,4707 kB/s
8.210.65.1,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,4705 kB/s
47.236.97.90,2082,false,SIN,Asia Pacific,Singapore,227 ms,4704 kB/s
47.237.82.15,2052,false,SIN,Asia Pacific,Singapore,243 ms,4685 kB/s
47.236.168.17,8080,false,SIN,Asia Pacific,Singapore,217 ms,4685 kB/s
8.210.175.109,2086,false,HKG,Asia Pacific,Hong Kong,56 ms,4680 kB/s
8.218.18.132,80,false,HKG,Asia Pacific,Hong Kong,66 ms,4676 kB/s
47.236.180.24,2082,false,SIN,Asia Pacific,Singapore,212 ms,4669 kB/s
47.236.205.188,2082,false,SIN,Asia Pacific,Singapore,226 ms,4669 kB/s
47.236.232.148,8080,false,SIN,Asia Pacific,Singapore,224 ms,4663 kB/s
8.219.126.240,8880,false,SIN,Asia Pacific,Singapore,225 ms,4662 kB/s
47.237.81.112,8080,false,SIN,Asia Pacific,Singapore,225 ms,4659 kB/s
47.236.144.208,2082,false,SIN,Asia Pacific,Singapore,236 ms,4655 kB/s
8.219.86.200,2082,false,SIN,Asia Pacific,Singapore,216 ms,4653 kB/s
8.219.210.57,8880,false,SIN,Asia Pacific,Singapore,226 ms,4645 kB/s
47.236.97.90,2052,false,SIN,Asia Pacific,Singapore,229 ms,4637 kB/s
47.237.92.26,2086,false,SIN,Asia Pacific,Singapore,219 ms,4636 kB/s
47.236.169.15,2052,false,SIN,Asia Pacific,Singapore,222 ms,4623 kB/s
47.236.205.188,8880,false,SIN,Asia Pacific,Singapore,237 ms,4623 kB/s
47.237.8.82,2082,false,SIN,Asia Pacific,Singapore,223 ms,4616 kB/s
47.236.87.246,2086,false,SIN,Asia Pacific,Singapore,219 ms,4613 kB/s
47.236.93.176,80,false,SIN,Asia Pacific,Singapore,225 ms,4610 kB/s
47.236.174.206,8880,false,SIN,Asia Pacific,Singapore,221 ms,4607 kB/s
47.237.121.38,2086,false,SIN,Asia Pacific,Singapore,213 ms,4607 kB/s
47.237.92.26,2082,false,SIN,Asia Pacific,Singapore,221 ms,4603 kB/s
8.219.210.57,2082,false,SIN,Asia Pacific,Singapore,219 ms,4580 kB/s
47.237.100.206,80,false,SIN,Asia Pacific,Singapore,228 ms,4580 kB/s
47.236.164.215,8080,false,SIN,Asia Pacific,Singapore,230 ms,4578 kB/s
8.218.18.132,8080,false,HKG,Asia Pacific,Hong Kong,63 ms,4578 kB/s
47.236.5.223,80,false,SIN,Asia Pacific,Singapore,223 ms,4571 kB/s
8.218.181.189,2082,false,HKG,Asia Pacific,Hong Kong,60 ms,4569 kB/s
8.219.49.65,8080,false,SIN,Asia Pacific,Singapore,230 ms,4569 kB/s
47.236.75.152,2095,false,SIN,Asia Pacific,Singapore,217 ms,4566 kB/s
47.237.95.140,2095,false,SIN,Asia Pacific,Singapore,222 ms,4565 kB/s
8.219.86.200,8080,false,SIN,Asia Pacific,Singapore,221 ms,4561 kB/s
47.236.170.225,80,false,SIN,Asia Pacific,Singapore,217 ms,4559 kB/s
47.236.5.223,2095,false,SIN,Asia Pacific,Singapore,237 ms,4556 kB/s
47.236.87.246,80,false,SIN,Asia Pacific,Singapore,212 ms,4546 kB/s
47.236.167.231,2052,false,SIN,Asia Pacific,Singapore,217 ms,4543 kB/s
47.236.102.102,8080,false,SIN,Asia Pacific,Singapore,228 ms,4542 kB/s
47.236.254.120,8880,false,SIN,Asia Pacific,Singapore,225 ms,4540 kB/s
47.236.232.148,2052,false,SIN,Asia Pacific,Singapore,265 ms,4537 kB/s
47.236.9.152,2082,false,SIN,Asia Pacific,Singapore,225 ms,4527 kB/s
8.219.200.145,2082,false,SIN,Asia Pacific,Singapore,226 ms,4525 kB/s
47.236.149.107,2052,false,SIN,Asia Pacific,Singapore,218 ms,4521 kB/s
47.237.121.38,2095,false,SIN,Asia Pacific,Singapore,258 ms,4521 kB/s
47.237.95.140,80,false,SIN,Asia Pacific,Singapore,217 ms,4520 kB/s
47.236.180.24,8080,false,SIN,Asia Pacific,Singapore,221 ms,4512 kB/s
47.236.164.215,8880,false,SIN,Asia Pacific,Singapore,238 ms,4509 kB/s
47.237.0.31,2095,false,SIN,Asia Pacific,Singapore,217 ms,4509 kB/s
47.236.75.113,80,false,SIN,Asia Pacific,Singapore,221 ms,4504 kB/s
47.237.14.220,2052,false,SIN,Asia Pacific,Singapore,245 ms,4502 kB/s
47.236.17.193,2082,false,SIN,Asia Pacific,Singapore,224 ms,4500 kB/s
47.236.253.41,80,false,SIN,Asia Pacific,Singapore,222 ms,4495 kB/s
47.236.97.90,80,false,SIN,Asia Pacific,Singapore,233 ms,4490 kB/s
47.236.80.110,2052,false,SIN,Asia Pacific,Singapore,212 ms,4490 kB/s
47.237.82.15,2095,false,SIN,Asia Pacific,Singapore,219 ms,4487 kB/s
47.76.178.146,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,4471 kB/s
47.236.172.95,8880,false,SIN,Asia Pacific,Singapore,215 ms,4470 kB/s
47.236.174.206,2095,false,SIN,Asia Pacific,Singapore,215 ms,4467 kB/s
47.236.144.48,2086,false,SIN,Asia Pacific,Singapore,224 ms,4467 kB/s
47.236.189.92,8880,false,SIN,Asia Pacific,Singapore,243 ms,4464 kB/s
8.219.142.191,80,false,SIN,Asia Pacific,Singapore,226 ms,4462 kB/s
47.236.17.193,8880,false,SIN,Asia Pacific,Singapore,233 ms,4451 kB/s
47.236.117.48,2082,false,SIN,Asia Pacific,Singapore,211 ms,4451 kB/s
47.236.189.92,2052,false,SIN,Asia Pacific,Singapore,218 ms,4451 kB/s
47.236.75.152,8080,false,SIN,Asia Pacific,Singapore,228 ms,4443 kB/s
47.236.10.100,2082,false,SIN,Asia Pacific,Singapore,219 ms,4442 kB/s
47.237.92.26,80,false,SIN,Asia Pacific,Singapore,273 ms,4441 kB/s
47.237.81.112,80,false,SIN,Asia Pacific,Singapore,222 ms,4436 kB/s
8.218.228.152,2082,false,HKG,Asia Pacific,Hong Kong,75 ms,4436 kB/s
47.236.254.120,8080,false,SIN,Asia Pacific,Singapore,227 ms,4435 kB/s
8.219.210.57,2095,false,SIN,Asia Pacific,Singapore,220 ms,4422 kB/s
47.236.83.239,2095,false,SIN,Asia Pacific,Singapore,215 ms,4420 kB/s
47.236.144.208,2052,false,SIN,Asia Pacific,Singapore,231 ms,4405 kB/s
47.236.172.71,2086,false,SIN,Asia Pacific,Singapore,228 ms,4403 kB/s
47.236.172.71,8080,false,SIN,Asia Pacific,Singapore,224 ms,4403 kB/s
47.76.29.115,2082,false,HKG,Asia Pacific,Hong Kong,57 ms,4401 kB/s
47.236.144.156,2082,false,SIN,Asia Pacific,Singapore,218 ms,4392 kB/s
47.236.5.223,2052,false,SIN,Asia Pacific,Singapore,225 ms,4391 kB/s
47.237.125.8,8880,false,SIN,Asia Pacific,Singapore,222 ms,4385 kB/s
47.236.150.13,2082,false,SIN,Asia Pacific,Singapore,250 ms,4385 kB/s
47.236.117.48,2086,false,SIN,Asia Pacific,Singapore,225 ms,4370 kB/s
47.237.95.140,2086,false,SIN,Asia Pacific,Singapore,222 ms,4368 kB/s
47.237.10.1,2095,false,SIN,Asia Pacific,Singapore,227 ms,4368 kB/s
47.236.144.196,2086,false,SIN,Asia Pacific,Singapore,229 ms,4367 kB/s
47.237.125.8,2082,false,SIN,Asia Pacific,Singapore,253 ms,4366 kB/s
47.236.253.41,2086,false,SIN,Asia Pacific,Singapore,224 ms,4363 kB/s
47.236.125.62,2082,false,NRT,Asia Pacific,Tokyo,308 ms,4357 kB/s
47.236.170.54,2082,false,SIN,Asia Pacific,Singapore,224 ms,4346 kB/s
47.237.100.206,8880,false,SIN,Asia Pacific,Singapore,218 ms,4334 kB/s
47.237.8.82,2086,false,SIN,Asia Pacific,Singapore,234 ms,4314 kB/s
47.236.144.156,2086,false,SIN,Asia Pacific,Singapore,226 ms,4313 kB/s
47.236.189.92,2095,false,SIN,Asia Pacific,Singapore,225 ms,4306 kB/s
47.237.95.140,8080,false,SIN,Asia Pacific,Singapore,229 ms,4304 kB/s
47.236.123.133,8080,false,SIN,Asia Pacific,Singapore,245 ms,4302 kB/s
47.236.180.24,80,false,SIN,Asia Pacific,Singapore,232 ms,4300 kB/s
47.236.104.11,2086,false,SIN,Asia Pacific,Singapore,221 ms,4300 kB/s
47.236.167.231,2095,false,SIN,Asia Pacific,Singapore,220 ms,4300 kB/s
47.236.172.71,8880,false,SIN,Asia Pacific,Singapore,230 ms,4295 kB/s
47.236.166.131,2086,false,SIN,Asia Pacific,Singapore,222 ms,4294 kB/s
47.236.130.95,2086,false,SIN,Asia Pacific,Singapore,260 ms,4293 kB/s
8.218.207.169,2086,false,HKG,Asia Pacific,Hong Kong,61 ms,4289 kB/s
47.236.165.25,2052,false,SIN,Asia Pacific,Singapore,256 ms,4279 kB/s
47.236.10.100,80,false,SIN,Asia Pacific,Singapore,223 ms,4274 kB/s
47.236.169.141,2052,false,SIN,Asia Pacific,Singapore,224 ms,4273 kB/s
47.236.144.156,8880,false,SIN,Asia Pacific,Singapore,223 ms,4267 kB/s
8.218.204.128,2052,false,HKG,Asia Pacific,Hong Kong,65 ms,4267 kB/s
47.236.172.95,8080,false,SIN,Asia Pacific,Singapore,235 ms,4263 kB/s
